127.0.0.1 - - [23/Nov/2016:13:36:17 -0200] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1041
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/js/angular-route.min.js HTTP/1.1" 200 4766
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 200 97163
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/js/controller/controller.js HTTP/1.1" 200 418
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 200 160048
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/js/app.js HTTP/1.1" 200 919
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/js/controller/cadastraPlano.js HTTP/1.1" 200 1097
127.0.0.1 - - [23/Nov/2016:13:37:51 -0200] "GET /SmallBI/main/js/controller/cadastraCliente.js HTTP/1.1" 200 1103
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1041
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 200 160048
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 200 97163
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/js/app.js HTTP/1.1" 200 919
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/js/angular-route.min.js HTTP/1.1" 200 4766
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/js/controller/controller.js HTTP/1.1" 200 418
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/js/controller/cadastraCliente.js HTTP/1.1" 200 1103
127.0.0.1 - - [23/Nov/2016:13:37:58 -0200] "GET /SmallBI/main/js/controller/cadastraPlano.js HTTP/1.1" 200 1097
127.0.0.1 - - [23/Nov/2016:14:01:51 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:14:01:51 -0200] "GET /SmallBI/main/js/angular-route.min.js.map HTTP/1.1" 404 1072
127.0.0.1 - - [23/Nov/2016:14:01:51 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1101
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/app.js HTTP/1.1" 200 910
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/js/bootstrap.min.js HTTP/1.1" 200 44735
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 200 1103
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 200 1097
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/routes.js HTTP/1.1" 404 1036
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/routes.js HTTP/1.1" 404 1036
127.0.0.1 - - [23/Nov/2016:15:21:19 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1167
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 200 188
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/routes.js HTTP/1.1" 404 1036
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/app.js HTTP/1.1" 200 40
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/routes.js HTTP/1.1" 404 1036
127.0.0.1 - - [23/Nov/2016:15:27:58 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1189
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/controller/app.js HTTP/1.1" 200 40
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 200 924
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:28:51 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1122
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/controller/app.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:29:06 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 200 1122
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 200 188
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/controller/app.js HTTP/1.1" 200 40
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 200 924
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 200 1103
127.0.0.1 - - [23/Nov/2016:15:29:35 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 200 1097
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/controller/app.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/controller/home.js HTTP/1.1" 200 187
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/controller/cadastraCliente.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/controller/routes.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/controller/cadastraPlano.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/css/bootstrap.min.css.map HTTP/1.1" 404 1068
127.0.0.1 - - [23/Nov/2016:15:31:28 -0200] "GET /SmallBI/main/js/angular.min.js.map HTTP/1.1" 404 1060
127.0.0.1 - - [23/Nov/2016:15:31:30 -0200] "GET /SmallBI/main/index.html HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:30 -0200] "GET /SmallBI/main/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:30 -0200] "GET /SmallBI/main/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [23/Nov/2016:15:31:30 -0200] "GET /SmallBI/main/js/angular.min.js HTTP/1.1" 304 -
